time	data	error	fit	res
0.4194304000	0.0142081818	0.0062202026	0.0009965698	2.1239842000
0.4456448000	0.0155618635	0.0058442683	0.0009110576	2.5068674384
0.4718592000	0.0143114588	0.0062490964	0.0008371126	2.1562071263
0.4980736000	0.0133033664	0.0057564866	0.0007726567	2.1767981969
0.5242880000	0.0130444641	0.0057308026	0.0007160685	2.1512511518
0.5767168000	0.0127689663	0.0061129017	0.0006216239	1.9871646861
0.6291456000	0.0144157468	0.0068337134	0.0005462582	2.0295683768
0.6815744000	0.0130963880	0.0062766827	0.0004849801	2.0092473342
0.7340032000	0.0134488510	0.0063591432	0.0004343598	2.0465793455
0.7864320000	0.0137802172	0.0063256325	0.0003919714	2.1165070595
0.8388608000	0.0129134704	0.0058365708	0.0003560554	2.1515056566
0.8912896000	0.0135750261	0.0065030390	0.0003253080	2.0374655897
0.9437184000	0.0131775701	0.0061641272	0.0002987446	2.0893185645
0.9961472000	0.0135994014	0.0063228895	0.0002756094	2.1072315115
1.0485760000	0.0137776868	0.0058599088	0.0002553135	2.3076081548
1.1534336000	0.0136536759	0.0057809289	0.0002214729	2.3235371469
1.2582912000	0.0129965375	0.0060455523	0.0001944992	2.1175961404
1.3631488000	0.0125434937	0.0059737329	0.0001725886	2.0708835333
1.4680064000	0.0129411482	0.0059618973	0.0001545036	2.1447274047
1.5728640000	0.0130397232	0.0059374548	0.0001393704	2.1727075579
1.6777216000	0.0131923093	0.0063680512	0.0001265558	2.0517663855
1.7825792000	0.0129437543	0.0061409133	0.0001155913	2.0889666265
1.8874368000	0.0126715560	0.0062759546	0.0001061234	2.0021547924
1.9922944000	0.0131102985	0.0060917362	0.0000978810	2.1360769983
2.0971520000	0.0128388481	0.0061718147	0.0000906528	2.0655505467
2.3068672000	0.0124636753	0.0062461468	0.0000786071	1.9828333641
2.5165824000	0.0127951762	0.0063794339	0.0000690112	1.9948737177
2.7262976000	0.0129925936	0.0060646713	0.0000612204	2.1322463418
2.9360128000	0.0124445224	0.0061933678	0.0000547925	2.0004834547
3.1457280000	0.0126658934	0.0060762557	0.0000494157	2.0763572536
